name,rank,movement,tier_a_pts,tier_b_pts,tier_c_pts,tier_d_pts,scorer_pts,conceder_pts,topscorer_pts,total,updated_at
יחסית רגשי ודי ריאלי,1,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Sir_SaxoGuz,2,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
מיסטר לונדון,3,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
יש לי חלום,4,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
דוד המלך,5,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
טלסי,6,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
ששל,7,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
והימור חסר אחריות,8,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
ניק דה דיק,9,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
אבאשלו,10,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Neymar,11,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
השחלה לברק,12,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
הפורטוגזית,13,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
עמרי קולברג,14,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Lady Crab 🦀,15,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
צ׳ופ,16,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
The real slim shady,17,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
01101110,18,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
User_1,19,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
השדים האדומים,20,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
צ׳וזמיניי,21,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
פול התמנון,22,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
קלוד,23,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Guest,24,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
ספיידרמן,25,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
דפי גרובר,26,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
השקעה סולידית,27,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
הפועל חיפה,28,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
טאטיניו,29,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
בני סלע,30,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Loizou,31,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
SaxoGuzito,32,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
עיר של קיץ,33,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
שמוגודו,34,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
מלאך המוות,35,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
מלך הפורטנייט,36,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
פוס,37,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
מוזלי,38,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
רוח השם גורדון,39,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
ליבליב,40,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
שוקת,41,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
צופיק,42,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
אני לא רובוט,43,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Slim Shady,44,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Sodastream,45,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
בוא לא נתפזר,46,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Killmachine,47,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
שגיא גנות,48,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
שמיגידי,49,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
השלום מהתקווה,50,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
Camo,51,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
צלילוש,52,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
החיים שממול,53,0,0,0,0,0,0,0,0,0,2026-06-11T09:39:05.909509+00:00
