name,tierA,tierB,tierC,tierD,scoring,conceding,top_scorer
יחסית רגשי ודי ריאלי,England,Uruguay,Ivory Coast,Uzbekistan,France,Curaçao,Harry Kane
Sir_SaxoGuz,England,United States,Senegal,Jordan,England,Belgium,Harry Kane
מיסטר לונדון,England,Switzerland,Egypt,South Africa,England,Haiti,Harry Kane
יש לי חלום,Argentina,Japan,South Korea,Uzbekistan,France,Iraq,Lionel Messi
דוד המלך,Argentina,Mexico,Ivory Coast,South Africa,Argentina,Iraq,Lautaro Martínez
טלסי,Argentina,Norway,South Korea,DR Congo,Spain,Iraq,Harry Kane
ששל,Argentina,Colombia,South Korea,Uzbekistan,Portugal,Iraq,Kylian Mbappé
והימור חסר אחריות,Argentina,Switzerland,South Korea,Qatar,Spain,Scotland,Lionel Messi
ניק דה דיק,Argentina,Switzerland,Senegal,DR Congo,France,Haiti,Kylian Mbappé
אבאשלו,Brazil,United States,Scotland,Tunisia,Brazil,Haiti,Vinícius Júnior
Neymar,Brazil,Japan,South Korea,Uzbekistan,Spain,DR Congo,Kylian Mbappé
השחלה לברק,Brazil,Japan,South Korea,Cape Verde,Germany,Iraq,Harry Kane
הפורטוגזית,Brazil,Morocco,Senegal,Cape Verde,Spain,Curaçao,Kylian Mbappé
עמרי קולברג,Germany,Czech Republic,Senegal,DR Congo,Germany,Haiti,Leroy Sané
Lady Crab 🦀,Germany,Croatia,Senegal,South Africa,Brazil,England,Cristiano Ronaldo
צ׳ופ,Spain,Austria,Egypt,Uzbekistan,Spain,New Zealand,Kylian Mbappé
The real slim shady,Spain,Uruguay,South Korea,New Zealand,Spain,Uruguay,Mikel Oyarzabal
01101110,Spain,Uruguay,Senegal,Tunisia,Spain,Canada,Kylian Mbappé
User_1,Spain,United States,South Korea,Uzbekistan,France,Haiti,Kylian Mbappé
השדים האדומים,Spain,United States,South Korea,South Africa,France,Curaçao,Harry Kane
צ׳וזמיניי,Spain,United States,Senegal,Qatar,France,Haiti,Harry Kane
פול התמנון,Spain,United States,Sweden,South Africa,Spain,Haiti,Lamine Yamal
קלוד,Spain,Japan,Egypt,South Africa,France,Haiti,Harry Kane
Guest,Spain,Morocco,Egypt,Uzbekistan,France,Curaçao,Kylian Mbappé
ספיידרמן,Spain,Morocco,Senegal,South Africa,Spain,Curaçao,Kylian Mbappé
דפי גרובר,Spain,Norway,Australia,New Zealand,Spain,Curaçao,Mikel Oyarzabal
השקעה סולידית,Spain,Norway,Ivory Coast,Uzbekistan,Spain,Uzbekistan,Erling Haaland
הפועל חיפה,Spain,Norway,Ivory Coast,South Africa,Spain,Curaçao,Kylian Mbappé
טאטיניו,Spain,Norway,Senegal,New Zealand,Spain,Haiti,Erling Haaland
בני סלע,Spain,Colombia,South Korea,Qatar,Spain,Cape Verde,Harry Kane
Loizou,Spain,Colombia,South Korea,Tunisia,Spain,Iraq,Harry Kane
SaxoGuzito,Spain,Colombia,Egypt,South Africa,Spain,Netherlands,Lamine Yamal
עיר של קיץ,Spain,Colombia,Egypt,South Africa,Spain,Iraq,Kylian Mbappé
שמוגודו,Spain,Colombia,Egypt,Tunisia,Spain,Iraq,Harry Kane
מלאך המוות,Spain,Croatia,Egypt,Cape Verde,Spain,Curaçao,Lamine Yamal
מלך הפורטנייט,Spain,Switzerland,Iran,Uzbekistan,Spain,Haiti,Harry Kane
פוס,Spain,Switzerland,Egypt,Qatar,Spain,Cape Verde,Kylian Mbappé
מוזלי,Portugal,Uruguay,South Korea,South Africa,Brazil,Iraq,Kylian Mbappé
רוח השם גורדון,Portugal,United States,South Korea,Qatar,France,Haiti,Ousmane Dembélé
ליבליב,Portugal,Morocco,Ivory Coast,DR Congo,Spain,Curaçao,Harry Kane
שוקת,Portugal,Morocco,Egypt,Qatar,France,Haiti,Kylian Mbappé
צופיק,Portugal,Switzerland,Egypt,South Africa,Portugal,Iraq,Erling Haaland
אני לא רובוט,France,Uruguay,Senegal,Cape Verde,Spain,Jordan,Kylian Mbappé
Slim Shady,France,Uruguay,Senegal,Panama,France,Portugal,Kylian Mbappé
Sodastream,France,Uruguay,Sweden,Qatar,Spain,Haiti,Kylian Mbappé
בוא לא נתפזר,France,Turkey,South Korea,Uzbekistan,Spain,Cape Verde,Kylian Mbappé
Killmachine,France,Japan,South Korea,Uzbekistan,France,Iran,Kylian Mbappé
שגיא גנות,France,Mexico,Egypt,Tunisia,France,Haiti,Kylian Mbappé
שמיגידי,France,Morocco,Senegal,South Africa,France,Haiti,Kylian Mbappé
השלום מהתקווה,France,Morocco,Senegal,Qatar,Brazil,Cape Verde,Kylian Mbappé
Camo,France,Croatia,Egypt,South Africa,France,Germany,Kylian Mbappé
צלילוש,France,Croatia,Egypt,DR Congo,Argentina,Haiti,Kylian Mbappé
החיים שממול,France,Switzerland,South Korea,DR Congo,Germany,Curaçao,Harry Kane
