team,american_odds,implied_raw,p_advance
Spain,-10000,0.9901,0.9417
Brazil,-10000,0.9901,0.9417
Germany,-10000,0.9901,0.9417
England,-10000,0.9901,0.9417
Argentina,-10000,0.9901,0.9417
Portugal,-5000,0.9804,0.9325
France,-5000,0.9804,0.9325
Belgium,-3500,0.9722,0.9247
Switzerland,-1800,0.9474,0.9011
Netherlands,-1400,0.9333,0.8877
Mexico,-1400,0.9333,0.8877
Colombia,-1000,0.9091,0.8647
Uruguay,-1000,0.9091,0.8647
Morocco,-1000,0.9091,0.8647
Ecuador,-900,0.9,0.856
Norway,-900,0.9,0.856
United States,-750,0.8824,0.8392
Canada,-750,0.8824,0.8392
Croatia,-500,0.8333,0.7926
Austria,-500,0.8333,0.7926
Turkey,-500,0.8333,0.7926
Ivory Coast,-500,0.8333,0.7926
Japan,-400,0.8,0.7609
Egypt,-340,0.7727,0.735
Czech Republic,-310,0.7561,0.7191
South Korea,-310,0.7561,0.7191
Algeria,-310,0.7561,0.7191
Scotland,-310,0.7561,0.7191
Bosnia and Herzegovina,-240,0.7059,0.6714
Senegal,-230,0.697,0.6629
Sweden,-230,0.697,0.6629
Paraguay,-205,0.6721,0.6393
Iran,-200,0.6667,0.6341
Ghana,-155,0.6078,0.5781
DR Congo,-115,0.5349,0.5087
Australia,-110,0.5238,0.4982
Saudi Arabia,105,0.4878,0.464
South Africa,120,0.4545,0.4323
Tunisia,140,0.4167,0.3963
New Zealand,150,0.4,0.3805
Cape Verde,200,0.3333,0.317
Uzbekistan,210,0.3226,0.3068
Panama,220,0.3125,0.2972
Qatar,250,0.2857,0.2718
Jordan,350,0.2222,0.2114
Iraq,450,0.1818,0.1729
Haiti,800,0.1111,0.1057
Curaçao,1000,0.0909,0.0865
