player,country,american_odds,implied_raw,p_gb
Kylian Mbappe,France,600,0.1429,0.06696
Harry Kane,England,700,0.125,0.05859
Erling Haaland,Norway,1400,0.0667,0.03125
Lionel Messi,Argentina,1600,0.0588,0.02757
Mikel Oyarzabal,Spain,1600,0.0588,0.02757
Lamine Yamal,Spain,2000,0.0476,0.02232
Cristiano Ronaldo,Portugal,2200,0.0435,0.02038
Julian Alvarez,Argentina,3000,0.0323,0.01512
Raphinha,Brazil,3000,0.0323,0.01512
Lautaro Martinez,Argentina,3000,0.0323,0.01512
Vinicius Junior,Brazil,3000,0.0323,0.01512
Ousmane Dembele,France,3000,0.0323,0.01512
Kai Havertz,Germany,3500,0.0278,0.01302
Nick Woltemade,Germany,4000,0.0244,0.01143
Igor Thiago,Belgium,4000,0.0244,0.01143
Florian Wirtz,Germany,4000,0.0244,0.01143
Ferran Torres,Spain,4000,0.0244,0.01143
Cody Gakpo,Netherlands,4000,0.0244,0.01143
Michael Olise,France,4500,0.0217,0.01019
Luis Diaz,Colombia,5000,0.0196,0.00919
Romelu Lukaku,Belgium,5000,0.0196,0.00919
Matheus Cunha,Brazil,5000,0.0196,0.00919
Jamal Musiala,Germany,5000,0.0196,0.00919
Ollie Watkins,England,5000,0.0196,0.00919
Bukayo Saka,England,5500,0.0179,0.00837
Luis Javier Suarez,Colombia,6000,0.0164,0.00768
Brian Brobbey,Netherlands,6000,0.0164,0.00768
Charles De Ketelaere,Belgium,6000,0.0164,0.00768
Lennart Karl,Germany,6000,0.0164,0.00768
Bruno Fernandes,Portugal,6000,0.0164,0.00768
Neymar,Brazil,6000,0.0164,0.00768
Memphis Depay,Netherlands,6000,0.0164,0.00768
Jude Bellingham,England,6000,0.0164,0.00768
Desire Doue,France,6000,0.0164,0.00768
Donyell Malen,Netherlands,6500,0.0152,0.0071
Pedro Neto,Portugal,6500,0.0152,0.0071
Eberechi Eze,England,6500,0.0152,0.0071
Leroy Sane,Germany,6500,0.0152,0.0071
Jeremy Doku,Belgium,6500,0.0152,0.0071
Enner Valencia,Ecuador,6500,0.0152,0.0071
Marcus Thuram,France,6500,0.0152,0.0071
Darwin Nunez,Uruguay,6500,0.0152,0.0071
Kingsley Coman,France,8000,0.0123,0.00579
Deniz Undav,Germany,8000,0.0123,0.00579
Ante Budimir,Croatia,8000,0.0123,0.00579
Ivan Toney,England,8000,0.0123,0.00579
Alexander Isak,Sweden,8000,0.0123,0.00579
Viktor Gyokeres,Sweden,8000,0.0123,0.00579
Morgan Rogers,England,8000,0.0123,0.00579
Marcus Rashford,England,8000,0.0123,0.00579
Alexander Sorloth,Norway,8000,0.0123,0.00579
Dani Olmo,Spain,8000,0.0123,0.00579
Anthony Gordon,England,8000,0.0123,0.00579
