team,american_odds,implied_prob,elo_market_implied,source
France,478,0.1729,2078.2,kalshi
Spain,699,0.1251,2049.7,kalshi
England,724,0.1214,2047.0,kalshi
Argentina,874,0.1026,2032.3,kalshi
Portugal,1178,0.0783,2008.4,kalshi
Brazil,1481,0.0633,1989.7,kalshi
Germany,1724,0.0548,1977.1,kalshi
Netherlands,2411,0.0398,1948.9,kalshi
United States,3183,0.0305,1925.3,kalshi
Norway,4084,0.0239,1903.9,kalshi
Morocco,5372,0.0183,1880.3,kalshi
Belgium,5997,0.0164,1870.8,kalshi
Colombia,5997,0.0164,1870.8,kalshi
Mexico,6569,0.015,1862.9,kalshi
Japan,6784,0.0145,1860.1,kalshi
DR Congo,10570,0.0094,1821.5,kalshi
Bosnia and Herzegovina,10570,0.0094,1821.5,kalshi
Iraq,10570,0.0094,1821.5,kalshi
Czech Republic,10570,0.0094,1821.5,kalshi
Switzerland,14127,0.007,1796.1,kalshi
Croatia,16315,0.0061,1783.5,kalshi
Uruguay,19300,0.0052,1768.8,kalshi
Ecuador,23611,0.0042,1751.1,kalshi
Sweden,23611,0.0042,1751.1,kalshi
Ivory Coast,23611,0.0042,1751.1,kalshi
Turkey,23611,0.0042,1751.1,kalshi
Senegal,23611,0.0042,1751.1,kalshi
Austria,30386,0.0033,1729.0,kalshi
South Korea,30386,0.0033,1729.0,kalshi
Egypt,42580,0.0023,1699.4,kalshi
Canada,42580,0.0023,1699.4,kalshi
Australia,42580,0.0023,1699.4,kalshi
Ghana,71033,0.0014,1654.4,kalshi
Scotland,71033,0.0014,1654.4,kalshi
Algeria,71033,0.0014,1654.4,kalshi
Jordan,106600,0.0009,1618.7,kalshi
New Zealand,106600,0.0009,1618.7,kalshi
Curaçao,106600,0.0009,1618.7,kalshi
Uzbekistan,106600,0.0009,1618.7,kalshi
Cape Verde,106600,0.0009,1618.7,kalshi
Tunisia,106600,0.0009,1618.7,kalshi
Paraguay,106600,0.0009,1618.7,kalshi
Panama,106600,0.0009,1618.7,kalshi
South Africa,106600,0.0009,1618.7,kalshi
Iran,106600,0.0009,1618.7,kalshi
Haiti,106600,0.0009,1618.7,kalshi
Qatar,106600,0.0009,1618.7,kalshi
Saudi Arabia,106600,0.0009,1618.7,kalshi
