date,ts,home,away,hg,ag,league,importance,age_years,weight,home_finalist,away_finalist
2023-10-12,1697148000,suriname,Haiti,1,1,CONCACAF Nations League,0.55,2.664,0.34664,False,True
2023-10-13,1697222700,liechtenstein,Bosnia and Herzegovina,0,2,Euro Championship - Qualification,0.55,2.661,0.34681,False,True
2023-10-15,1697395500,Norway,Spain,0,1,Euro Championship - Qualification,0.55,2.656,0.34714,True,True
2023-10-16,1697414400,Haiti,jamaica,2,3,CONCACAF Nations League,0.55,2.653,0.3473,True,False
2023-10-16,1697481900,Bosnia and Herzegovina,Portugal,0,5,Euro Championship - Qualification,0.55,2.653,0.3473,True,True
2023-11-16,1700154000,azerbaijan,Sweden,3,0,Euro Championship - Qualification,0.55,2.568,0.35245,False,True
2023-11-16,1700154000,Norway,faroe islands,2,0,Friendlies,0.3,2.568,0.19224,True,False
2023-11-16,1700163900,luxembourg,Bosnia and Herzegovina,4,1,Euro Championship - Qualification,0.55,2.568,0.35245,False,True
2023-11-19,1700413200,Sweden,estonia,2,0,Euro Championship - Qualification,0.55,2.56,0.35295,True,False
2023-11-19,1700423100,Scotland,Norway,3,3,Euro Championship - Qualification,0.55,2.56,0.35295,True,True
2023-11-19,1700423100,Bosnia and Herzegovina,slovakia,1,2,Euro Championship - Qualification,0.55,2.56,0.35295,True,False
2023-11-21,1700524800,Curaçao,el salvador,1,1,Friendlies,0.3,2.554,0.1927,True,False
2024-01-12,1705082400,Sweden,estonia,2,1,Friendlies,0.3,2.412,0.19751,True,False
2024-01-23,1706009400,Australia,Uzbekistan,1,1,Asian Cup,0.7,2.382,0.46328,True,True
2024-01-28,1706441400,Australia,indonesia,4,0,Asian Cup,0.7,2.368,0.46438,True,False
2024-01-29,1706547600,Cape Verde,mauritania,1,0,Africa Cup of Nations,0.75,2.366,0.49778,True,False
2024-03-21,1711012200,Australia,lebanon,2,0,World Cup - Qualification Asia,0.65,2.223,0.44219,True,False
2024-03-21,1711016580,Japan,north korea,1,0,World Cup - Qualification Asia,0.65,2.223,0.44219,True,False
2024-03-21,1711018800,South Korea,thailand,1,1,World Cup - Qualification Asia,0.65,2.223,0.44219,True,False
2024-03-21,1711026000,hull city,Curaçao,0,1,Friendlies,0.3,2.223,0.20409,False,True
